variable,n,mean,median,sd,min,max,skewness,kurtosis
AAA,303,4.773432343234323,4.88,1.2646113325422,2.14,7.99,0.2529921078299584,2.7069558761883363
CPIAUCSL,303,230.8060495049505,229.918,39.0034818336331,169.3,319.775,0.5029718681121423,2.586518889347184
FEDFUNDS,303,1.9434653465346532,1.24,2.0263548826772984,0.05,6.54,0.8000364175683833,2.197376744236974
INDPRO,303,97.32681353135314,98.7237,5.018152178726351,84.6746,104.2202,-0.5841811465105545,2.2075269045132
VIXCLS,303,19.93069306930693,17.94,7.915293678782587,9.51,59.89,1.7209063695555835,7.261465131039535
monthly_return,303,0.003821620218199601,0.0085266208246193,0.04218932241102102,-0.10929974176872545,0.10638778261548226,-0.34569974126247865,3.223147514429768
